Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C)
Ginoria glabra,Lythraceae,6,33.47,77.40,850,0.6,NA,35.6
Ginoria glabra,Lythraceae,6,33.73,91.77,292,0.1,633.3,34.2
Ginoria glabra,Lythraceae,6,33.77,83.80,736,0.1,392.6,37.4
Ginoria glabra,Lythraceae,6,32.55,82.35,490,0.1,250.6,35.2
Ginoria glabra,Lythraceae,6,34.07,83.27,986,0.1,350.5,37.2
Ginoria glabra,Lythraceae,6,33.77,80.60,944,0.1,286.1,39.2
Ginoria glabra,Lythraceae,6,33.77,85.90,848,0.1,339.7,41.8
Ginoria glabra,Lythraceae,6,32.35,84.95,965,0.1,668.6,34.8
Ginoria glabra,Lythraceae,7,33.77,85.90,969,0.1,75.6,43.4
Ginoria glabra,Lythraceae,7,34.07,86.13,874,0.1,612.6,36.2
Ginoria glabra,Lythraceae,7,33.47,77.40,944,0.1,425.7,42.4
Ginoria glabra,Lythraceae,7,33.33,86.73,700,0.1,571.8,39
Ginoria glabra,Lythraceae,7,34.07,83.27,778,0.1,761.6,36.2
Ginoria glabra,Lythraceae,7,33.73,91.77,354,0.1,787.2,33.8
Ginoria glabra,Lythraceae,7,34.60,75.90,755,0.1,222.2,39.4
Ginoria glabra,Lythraceae,7,32.35,84.95,732,0.1,NA,33.2
Ginoria glabra,Lythraceae,7,32.55,82.35,822,0.1,52.1,39.8
Ginoria glabra,Lythraceae,7,33.77,80.60,700,0.7,469.9,38.8
Ginoria glabra,Lythraceae,7,33.77,83.80,955,0.1,158.4,41
Ginoria glabra,Lythraceae,8,33.73,91.77,243,0.1,NA,31.6
Ginoria glabra,Lythraceae,8,34.60,75.90,838,0.1,230.2,39.2
Ginoria glabra,Lythraceae,8,33.47,77.40,956,0.1,232.8,41.2
Ginoria glabra,Lythraceae,8,33.77,85.90,877,0.1,76.5,41.2
Ginoria glabra,Lythraceae,8,33.33,86.73,825,0.1,312.7,39.6
Ginoria glabra,Lythraceae,8,34.07,86.13,829,0.1,799.6,36
Ginoria glabra,Lythraceae,8,32.55,82.35,944,0.1,82.5,40.6
Ginoria glabra,Lythraceae,8,32.35,84.95,585,0.1,701,32.6
Ginoria glabra,Lythraceae,8,33.77,83.80,976,0.1,264.5,42.4
Ginoria glabra,Lythraceae,8,33.77,80.60,881,0.6,317.8,35.6
Ginoria glabra,Lythraceae,8,34.07,83.27,907,0.1,440.9,38.2
Hamelia patens,Rubiaceae,1,35.30,73.67,941,0.1,NA,35.6
Hamelia patens,Rubiaceae,1,34.13,75.43,724,0.1,NA,35.2
Hamelia patens,Rubiaceae,1,31.00,95.67,601,0.1,679.9,32.2
Hamelia patens,Rubiaceae,1,32.17,83.87,666,0.1,1464.9,30.2
Hamelia patens,Rubiaceae,1,34.33,77.30,174,0.4,1073.9,29.6
Hamelia patens,Rubiaceae,1,35.17,70.70,873,0.1,1277.7,33
Hamelia patens,Rubiaceae,1,32.13,90.77,848,0.1,895.6,34
Hamelia patens,Rubiaceae,1,34.07,81.83,984,0.1,808.2,36.8
Hamelia patens,Rubiaceae,1,35.67,71.17,660,0.1,NA,35.8
Hamelia patens,Rubiaceae,1,33.73,85.50,645,0.1,1185.9,32.4
Hamelia patens,Rubiaceae,2,32.17,83.87,932,0.1,1362.8,33.8
Hamelia patens,Rubiaceae,2,34.33,77.30,220,0.6,1105,30.2
Hamelia patens,Rubiaceae,2,35.30,73.67,942,0.1,1090.6,37.2
Hamelia patens,Rubiaceae,2,31.00,95.67,230,0.1,538.5,30.2
Hamelia patens,Rubiaceae,2,34.07,81.83,1001,0.3,946.8,34
Hamelia patens,Rubiaceae,2,32.13,90.77,106,0.1,621.3,31.8
Hamelia patens,Rubiaceae,2,35.17,70.70,985,0.1,NA,33.4
Hamelia patens,Rubiaceae,2,35.67,71.17,585,0.4,804.5,33.2
Hamelia patens,Rubiaceae,2,34.13,75.43,639,0.1,426.7,33.8
Hamelia patens,Rubiaceae,2,33.73,85.50,1021,0.6,1231.7,32
Hamelia patens,Rubiaceae,3,35.67,71.17,966,0.4,993.3,34.2
Hamelia patens,Rubiaceae,3,34.13,75.43,530,0.1,1043.1,33.2
Hamelia patens,Rubiaceae,3,35.17,70.70,933,0.1,1481.7,34.8
Hamelia patens,Rubiaceae,3,33.73,85.50,574,0.5,1315.4,31.4
Hamelia patens,Rubiaceae,3,32.13,90.77,530,0.1,NA,31.8
Hamelia patens,Rubiaceae,3,34.33,77.30,350,0.4,NA,33
Hamelia patens,Rubiaceae,3,34.07,81.83,889,0.1,994,35
Hamelia patens,Rubiaceae,3,35.30,73.67,884,0.5,NA,35.8
Hamelia patens,Rubiaceae,3,32.17,83.87,762,0.1,NA,31.6
Hamelia patens,Rubiaceae,3,31.00,95.67,444,0.1,785.8,32.8
Hamelia patens,Rubiaceae,4,34.33,77.30,450,0.1,NA,34
Hamelia patens,Rubiaceae,4,32.13,90.77,746,0.1,789.6,30.4
Hamelia patens,Rubiaceae,4,35.30,73.67,761,0.1,1300.2,34.2
Hamelia patens,Rubiaceae,4,31.00,95.67,495,0.1,987.8,31.8
Hamelia patens,Rubiaceae,4,34.07,81.83,899,0.1,NA,35.8
Hamelia patens,Rubiaceae,4,34.13,75.43,754,0.1,NA,32.2
Hamelia patens,Rubiaceae,4,35.67,71.17,652,0.1,1026.3,34.2
Hamelia patens,Rubiaceae,4,35.17,70.70,1011,0.1,1485.1,34.6
Hamelia patens,Rubiaceae,4,32.17,83.87,1015,0.1,1659,34.6
Hamelia patens,Rubiaceae,4,33.73,85.50,985,0.1,1374.1,37.8
Hamelia patens,Rubiaceae,5,34.13,75.43,853,0.1,1209.4,32.4
Hamelia patens,Rubiaceae,5,35.67,71.17,972,0.1,662,35.2
Hamelia patens,Rubiaceae,5,32.17,83.87,852,0.1,1272.4,34.4
Hamelia patens,Rubiaceae,5,35.17,70.70,822,0.1,NA,34
Hamelia patens,Rubiaceae,5,33.73,85.50,903,0.3,1555.2,33.6
Hamelia patens,Rubiaceae,5,34.07,81.83,689,0.1,945.3,35.2
Hamelia patens,Rubiaceae,5,32.13,90.77,277,0.1,NA,31.4
Hamelia patens,Rubiaceae,5,31.00,95.67,688,0.1,NA,30
Hamelia patens,Rubiaceae,5,35.30,73.67,869,0.1,1066.9,37
Hamelia patens,Rubiaceae,5,34.33,77.30,1025,0.1,1155,33
Hamelia patens,Rubiaceae,6,35.67,71.17,909,0.1,NA,37.2
Hamelia patens,Rubiaceae,6,31.00,95.67,281,0.1,NA,29.8
Hamelia patens,Rubiaceae,6,34.33,77.30,760,0.5,982.4,30.2
Hamelia patens,Rubiaceae,6,35.30,73.67,975,0.1,735.8,38.2
Hamelia patens,Rubiaceae,6,34.13,75.43,769,0.1,1149.8,34.2
Hamelia patens,Rubiaceae,6,34.07,81.83,989,0.1,NA,34.4
Hamelia patens,Rubiaceae,6,33.73,85.50,793,0.1,1209.9,32.6
Hamelia patens,Rubiaceae,6,35.17,70.70,902,0.1,NA,34
Hamelia patens,Rubiaceae,6,32.17,83.87,781,0.1,NA,31.6
Hamelia patens,Rubiaceae,7,33.73,85.50,935,0.1,1309.9,31.2
Hamelia patens,Rubiaceae,8,34.13,75.43,949,0.1,1094.7,32
Hamelia patens,Rubiaceae,8,35.67,71.17,928,0.1,737.8,33.6
Hamelia patens,Rubiaceae,8,35.30,73.67,803,0.5,825.3,33.4
Hamelia patens,Rubiaceae,8,31.00,95.67,528,0.1,738.6,32.6
Hamelia patens,Rubiaceae,8,32.17,83.87,977,0.1,1188.2,33.6
Hamelia patens,Rubiaceae,8,32.13,90.77,128,0.1,853.2,33.8
Hamelia patens,Rubiaceae,8,33.73,85.50,506,0.1,NA,35
Hamelia patens,Rubiaceae,8,35.17,70.70,920,0.4,1321.1,33.4
Hamelia patens,Rubiaceae,8,34.07,81.83,588,0.1,1007.1,32.8
Hamelia patens,Rubiaceae,8,34.33,77.30,954,0.1,1132.4,32.2
Hibiscus boryanus,Malvaceae,1,32.87,81.80,603,0.1,158.4,37.4
Hibiscus boryanus,Malvaceae,1,30.53,99.43,170,0.1,383.8,29.6
Hibiscus boryanus,Malvaceae,1,33.37,83.93,965,0.1,280.8,35.2
Hibiscus boryanus,Malvaceae,1,33.67,78.43,949,0.1,NA,38.2
Hibiscus boryanus,Malvaceae,1,33.33,74.43,169,0.7,178.6,32
Hibiscus boryanus,Malvaceae,1,34.30,73.50,106,0.6,NA,31.1
Hibiscus boryanus,Malvaceae,1,34.53,72.40,996,0.1,308.8,39.6
Hibiscus boryanus,Malvaceae,2,34.53,72.40,688,0.1,96.4,37.8
Hibiscus boryanus,Malvaceae,2,32.87,81.80,231,0.1,NA,32.4
Hibiscus boryanus,Malvaceae,2,33.67,78.43,987,0.1,304.4,38.2
Hibiscus boryanus,Malvaceae,2,33.33,74.43,578,0.1,148.3,32.8
Hibiscus boryanus,Malvaceae,2,32.83,76.67,205,0.1,108.2,34
Hibiscus boryanus,Malvaceae,2,30.53,99.43,133,0.1,340.6,29.6
Hibiscus boryanus,Malvaceae,2,33.37,83.93,928,0.1,NA,35.6
Hibiscus boryanus,Malvaceae,3,33.67,78.43,979,0.1,NA,39.4
Hibiscus boryanus,Malvaceae,3,32.87,81.80,405,0.1,326.5,32
Hibiscus boryanus,Malvaceae,3,34.53,72.40,988,0.1,89.9,38.6
Hibiscus boryanus,Malvaceae,3,33.33,74.43,575,0.5,NA,33.2
Hibiscus boryanus,Malvaceae,3,32.83,76.67,280,0.1,NA,32.2
Hibiscus boryanus,Malvaceae,3,33.37,83.93,911,0.1,NA,35.2
Hibiscus boryanus,Malvaceae,4,33.37,83.93,743,0.1,363.5,36.6
Hibiscus boryanus,Malvaceae,4,33.33,74.43,870,0.1,70.4,41.8
Hibiscus boryanus,Malvaceae,4,33.67,78.43,670,0.1,187.3,39
Hibiscus boryanus,Malvaceae,4,32.87,81.80,530,0.4,NA,37.3
Hibiscus boryanus,Malvaceae,4,32.83,76.67,1004,0.4,103,37.2
Hibiscus boryanus,Malvaceae,4,34.53,72.40,985,0.6,121,38.2
Hibiscus boryanus,Malvaceae,5,32.87,81.80,385,0.5,NA,35.8
Hibiscus boryanus,Malvaceae,5,33.67,78.43,569,0.1,206.4,38.6
Hibiscus boryanus,Malvaceae,5,34.53,72.40,1028,0.4,174.9,35.2
Hibiscus boryanus,Malvaceae,5,32.83,76.67,559,0.5,NA,35.5
Hibiscus boryanus,Malvaceae,5,33.13,78.63,171,0.3,159.4,32.2
Hibiscus boryanus,Malvaceae,5,33.37,83.93,409,0.1,450.2,35.4
Hibiscus boryanus,Malvaceae,5,34.30,73.50,933,0.6,85.9,35.2
Hibiscus boryanus,Malvaceae,5,33.33,74.43,623,0.1,200.9,36.4
Hibiscus boryanus,Malvaceae,6,32.87,81.80,788,0.1,189.3,38
Hibiscus boryanus,Malvaceae,6,33.33,74.43,800,0.1,192.3,42.4
Hibiscus boryanus,Malvaceae,6,34.53,72.40,962,0.9,242.9,39.6
Hibiscus boryanus,Malvaceae,6,33.13,78.63,160,0.1,NA,33.2
Hibiscus boryanus,Malvaceae,6,33.67,78.43,951,0.1,NA,41.2
Hibiscus boryanus,Malvaceae,6,34.30,73.50,915,0.1,NA,37.2
Hibiscus boryanus,Malvaceae,6,32.83,76.67,623,0.3,151.5,37.8
Hibiscus boryanus,Malvaceae,6,33.37,83.93,805,0.1,163.3,36.2
Hibiscus boryanus,Malvaceae,7,32.83,76.67,117,0.2,NA,38.2
Hibiscus boryanus,Malvaceae,7,32.87,81.80,829,0.1,263.8,39.4
Hibiscus boryanus,Malvaceae,7,33.37,83.93,761,0.1,359.1,36.2
Hibiscus boryanus,Malvaceae,7,33.13,78.63,1002,0.1,262.1,41.8
Hibiscus boryanus,Malvaceae,7,33.33,74.43,136,0.1,NA,31.8
Hibiscus boryanus,Malvaceae,7,34.53,72.40,989,0.6,221.1,39.4
Hibiscus boryanus,Malvaceae,7,33.67,78.43,931,0.6,332,35.2
Hibiscus boryanus,Malvaceae,7,34.30,73.50,981,0.7,285,42.2
Hibiscus boryanus,Malvaceae,8,33.33,74.43,420,0.1,NA,31.2
Hibiscus boryanus,Malvaceae,8,34.53,72.40,775,0.4,258.5,34
Hibiscus boryanus,Malvaceae,8,33.37,83.93,578,0.1,NA,30.8
Hibiscus boryanus,Malvaceae,8,32.83,76.67,256,0.8,NA,30.6
Hibiscus boryanus,Malvaceae,8,33.67,78.43,714,0.1,452.6,32.6
Hibiscus boryanus,Malvaceae,8,32.87,81.80,900,0.1,159.9,37.4
Hibiscus boryanus,Malvaceae,8,33.13,78.63,763,0.1,138.1,34.2
Holmskioldia sanguinea,Lamiaceae,1,31.97,82.40,411,0.1,777.8,35.8
Holmskioldia sanguinea,Lamiaceae,1,30.40,100.00,788,0.1,711.2,34.8
Holmskioldia sanguinea,Lamiaceae,1,33.10,79.87,618,0.3,743.1,32.4
Holmskioldia sanguinea,Lamiaceae,1,33.77,81.50,284,0.1,593.9,34.2
Holmskioldia sanguinea,Lamiaceae,1,31.55,88.80,878,0.2,699.9,34.6
Holmskioldia sanguinea,Lamiaceae,1,33.83,84.10,257,0.1,NA,31
Holmskioldia sanguinea,Lamiaceae,1,33.10,83.67,679,0.1,NA,36.6
Holmskioldia sanguinea,Lamiaceae,2,30.40,100.00,755,0.1,NA,35.2
Holmskioldia sanguinea,Lamiaceae,2,33.77,81.50,635,0.1,575.2,36.2
Holmskioldia sanguinea,Lamiaceae,2,31.55,88.80,910,0.2,NA,35.6
Holmskioldia sanguinea,Lamiaceae,2,32.87,86.47,180,0.1,NA,33.6
Holmskioldia sanguinea,Lamiaceae,2,33.83,84.10,487,0.5,589.4,31.2
Holmskioldia sanguinea,Lamiaceae,2,33.10,79.87,875,0.1,NA,35.8
Holmskioldia sanguinea,Lamiaceae,2,33.10,83.67,907,0.1,623.2,37.4
Holmskioldia sanguinea,Lamiaceae,3,30.40,100.00,722,0.1,289.6,36.4
Holmskioldia sanguinea,Lamiaceae,3,33.83,84.10,114,0.1,NA,31.2
Holmskioldia sanguinea,Lamiaceae,3,33.77,81.50,910,0.1,281.9,40.2
Holmskioldia sanguinea,Lamiaceae,3,31.55,88.80,893,0.2,266.8,36.8
Holmskioldia sanguinea,Lamiaceae,3,33.10,79.87,981,0.1,476.5,39.2
Holmskioldia sanguinea,Lamiaceae,3,33.10,83.67,904,1.2,NA,38.2
Holmskioldia sanguinea,Lamiaceae,4,33.77,81.50,894,0.1,NA,36.4
Holmskioldia sanguinea,Lamiaceae,4,31.55,88.80,901,0.2,322,37.8
Holmskioldia sanguinea,Lamiaceae,4,30.40,100.00,773,0.1,333.3,36.2
Holmskioldia sanguinea,Lamiaceae,4,33.83,84.10,549,0.1,437.7,32
Holmskioldia sanguinea,Lamiaceae,4,33.10,79.87,995,0.4,545.9,38.2
Holmskioldia sanguinea,Lamiaceae,4,33.10,83.67,939,0.1,425.1,39.8
Holmskioldia sanguinea,Lamiaceae,5,31.55,88.80,800,0.2,766.1,35
Holmskioldia sanguinea,Lamiaceae,5,33.83,84.10,446,0.1,544.7,35.6
Holmskioldia sanguinea,Lamiaceae,5,33.77,81.50,705,0.1,NA,36.2
Holmskioldia sanguinea,Lamiaceae,5,30.40,100.00,775,0.4,NA,35.6
Holmskioldia sanguinea,Lamiaceae,5,32.87,86.47,250,0.1,533.2,34.8
Holmskioldia sanguinea,Lamiaceae,5,33.10,79.87,822,0.1,904.1,34.4
Holmskioldia sanguinea,Lamiaceae,5,33.10,83.67,814,0.1,NA,37
Holmskioldia sanguinea,Lamiaceae,6,31.55,88.80,890,0.2,NA,35
Holmskioldia sanguinea,Lamiaceae,6,30.40,100.00,720,0.1,897.2,34.6
Holmskioldia sanguinea,Lamiaceae,6,33.83,84.10,774,0.3,436.4,32.6
Holmskioldia sanguinea,Lamiaceae,6,33.10,83.67,890,0.1,632,38
Holmskioldia sanguinea,Lamiaceae,6,33.10,79.87,986,0.1,917.2,37.8
Holmskioldia sanguinea,Lamiaceae,6,33.77,81.50,696,0.1,NA,36.8
Holmskioldia sanguinea,Lamiaceae,7,31.55,88.80,896,0.2,NA,35.6
Holmskioldia sanguinea,Lamiaceae,7,33.77,81.50,873,0.1,645.7,37.2
Holmskioldia sanguinea,Lamiaceae,7,30.40,100.00,717,0.1,765.4,33.6
Holmskioldia sanguinea,Lamiaceae,7,32.87,86.47,645,0.1,482.9,35
Holmskioldia sanguinea,Lamiaceae,7,33.83,84.10,659,0.1,NA,34.6
Holmskioldia sanguinea,Lamiaceae,7,33.10,83.67,761,1,771.5,38.2
Holmskioldia sanguinea,Lamiaceae,7,33.10,79.87,827,0.1,NA,37
Holmskioldia sanguinea,Lamiaceae,8,31.55,88.80,833,0.2,643.5,35.6
Holmskioldia sanguinea,Lamiaceae,8,33.10,83.67,828,0.5,729.1,38.4
Holmskioldia sanguinea,Lamiaceae,8,30.40,100.00,615,0.1,NA,34
Holmskioldia sanguinea,Lamiaceae,8,33.83,84.10,198,0.1,244.7,33.6
Holmskioldia sanguinea,Lamiaceae,8,33.10,79.87,1017,0.1,567.5,38.8
Holmskioldia sanguinea,Lamiaceae,8,33.77,81.50,981,0.1,502.8,39.8
Justicia brandegeeana,Acanthaceae,1,34.27,78.53,1015,0.1,312,39.6
Justicia brandegeeana,Acanthaceae,1,33.97,82.50,688,0.1,969.8,36.2
Justicia brandegeeana,Acanthaceae,1,32.43,79.10,114,0.1,497.4,32.6
Justicia brandegeeana,Acanthaceae,1,34.37,74.97,1000,0.1,NA,41.6
Justicia brandegeeana,Acanthaceae,1,33.07,87.57,910,0.1,738.9,37.2
Justicia brandegeeana,Acanthaceae,1,30.30,97.03,729,0.1,164.3,38.4
Justicia brandegeeana,Acanthaceae,1,34.50,83.93,1001,0.1,NA,38.6
Justicia brandegeeana,Acanthaceae,1,36.27,62.73,150,0.1,NA,32
Justicia brandegeeana,Acanthaceae,2,34.37,74.97,1002,0.1,1344.8,37.4
Justicia brandegeeana,Acanthaceae,2,36.27,62.73,670,0.1,710.1,34.6
Justicia brandegeeana,Acanthaceae,2,34.27,78.53,977,0.1,935.2,33.6
Justicia brandegeeana,Acanthaceae,2,33.97,82.50,955,0.1,NA,34.8
Justicia brandegeeana,Acanthaceae,2,34.50,83.93,1005,0.1,565.4,36.4
Justicia brandegeeana,Acanthaceae,2,33.07,87.57,948,0.1,1088.4,37.6
Justicia brandegeeana,Acanthaceae,2,32.43,79.10,426,0.1,504.6,34.2
Justicia brandegeeana,Acanthaceae,3,33.97,82.50,1004,0.1,1125.9,38.2
Justicia brandegeeana,Acanthaceae,3,34.37,74.97,985,0.1,NA,36.8
Justicia brandegeeana,Acanthaceae,3,34.27,78.53,801,0.1,879.3,37.2
Justicia brandegeeana,Acanthaceae,3,36.27,62.73,964,0.1,750.5,37.8
Justicia brandegeeana,Acanthaceae,3,33.07,87.57,998,0.1,1130.6,37.6
Justicia brandegeeana,Acanthaceae,3,32.43,79.10,402,0.1,NA,36.2
Justicia brandegeeana,Acanthaceae,3,34.50,83.93,984,0.1,810.7,35.4
Justicia brandegeeana,Acanthaceae,4,33.97,82.50,995,0.1,NA,39.6
Justicia brandegeeana,Acanthaceae,4,34.37,74.97,1000,0.1,955.6,38
Justicia brandegeeana,Acanthaceae,4,32.43,79.10,450,0.1,462.1,36.4
Justicia brandegeeana,Acanthaceae,4,34.50,83.93,786,0.1,573.7,32.8
Justicia brandegeeana,Acanthaceae,4,36.27,62.73,872,0.1,NA,35.6
Justicia brandegeeana,Acanthaceae,4,34.27,78.53,848,0.1,955.4,37
Justicia brandegeeana,Acanthaceae,4,33.07,87.57,622,0.1,1051.4,33.8
Justicia brandegeeana,Acanthaceae,5,34.27,78.53,807,0.1,NA,36.4
Justicia brandegeeana,Acanthaceae,5,34.37,74.97,942,0.1,NA,35
Justicia brandegeeana,Acanthaceae,5,33.07,87.57,728,0.1,880.3,31
Justicia brandegeeana,Acanthaceae,5,36.27,62.73,975,0.1,844.4,35.6
Justicia brandegeeana,Acanthaceae,5,34.50,83.93,721,0.1,NA,33.6
Justicia brandegeeana,Acanthaceae,5,32.43,79.10,883,0.1,NA,37.8
Justicia brandegeeana,Acanthaceae,5,33.97,82.50,1003,0.1,1165.2,35.4
Justicia brandegeeana,Acanthaceae,6,34.50,83.93,202,0.1,620,31.4
Justicia brandegeeana,Acanthaceae,6,36.27,62.73,985,0.1,552.4,36.6
Justicia brandegeeana,Acanthaceae,6,33.97,82.50,1010,0.1,1074.5,38.2
Justicia brandegeeana,Acanthaceae,6,33.07,87.57,677,0.1,1116.4,32.2
Justicia brandegeeana,Acanthaceae,6,34.37,74.97,999,0.1,1184.8,37.4
Justicia brandegeeana,Acanthaceae,6,34.27,78.53,983,0.4,358.8,40.4
Justicia brandegeeana,Acanthaceae,6,32.43,79.10,124,0.1,284.4,32.2
Justicia brandegeeana,Acanthaceae,7,33.97,82.50,999,0.1,1005.8,36.4
Justicia brandegeeana,Acanthaceae,7,34.50,83.93,157,0.1,537.4,31.6
Justicia brandegeeana,Acanthaceae,7,34.37,74.97,955,0.1,930.6,38.6
Justicia brandegeeana,Acanthaceae,7,33.07,87.57,453,0.1,945.9,31.2
Justicia brandegeeana,Acanthaceae,7,34.27,78.53,892,0.1,NA,38.2
Justicia brandegeeana,Acanthaceae,7,36.27,62.73,694,0.1,488.3,36.4
Justicia brandegeeana,Acanthaceae,7,32.43,79.10,535,0.1,282.6,37.8
Maytenus procumbens,Celastraceae,1,33.13,81.97,789,0.1,174.9,41.8
Maytenus procumbens,Celastraceae,1,32.97,68.83,940,0.4,311.8,40
Maytenus procumbens,Celastraceae,1,32.40,82.37,131,0.1,286.7,30.8
Maytenus procumbens,Celastraceae,1,33.37,75.87,926,0.1,251.1,41.4
Maytenus procumbens,Celastraceae,1,32.60,81.40,482,0.1,182.7,39.8
Maytenus procumbens,Celastraceae,1,32.23,76.37,169,0.1,340,33
Maytenus procumbens,Celastraceae,1,32.47,78.80,618,0.1,231.6,39.4
Maytenus procumbens,Celastraceae,2,33.37,75.87,948,0.1,330,40.2
Maytenus procumbens,Celastraceae,2,32.23,76.37,490,0.1,351.1,34
Maytenus procumbens,Celastraceae,2,32.40,82.37,135,0.1,261.2,31.2
Maytenus procumbens,Celastraceae,2,32.97,68.83,988,0.4,262.5,39.4
Maytenus procumbens,Celastraceae,2,32.60,81.40,993,0.1,151.2,42.4
Maytenus procumbens,Celastraceae,2,32.47,78.80,993,0.1,245.4,40.4
Maytenus procumbens,Celastraceae,2,33.13,81.97,959,0.1,NA,42
Maytenus procumbens,Celastraceae,3,33.37,75.87,992,0.1,234.1,40.6
Maytenus procumbens,Celastraceae,3,32.23,76.37,419,0.1,316.9,31.6
Maytenus procumbens,Celastraceae,3,32.97,68.83,967,0.4,127.9,40.2
Maytenus procumbens,Celastraceae,3,32.47,78.80,486,0.1,319.8,30
Maytenus procumbens,Celastraceae,3,33.13,81.97,970,0.1,63.2,42.8
Maytenus procumbens,Celastraceae,4,32.40,82.37,101,0.1,261.6,30.2
Maytenus procumbens,Celastraceae,4,32.60,81.40,125,0.1,NA,30.4
Maytenus procumbens,Celastraceae,4,33.13,81.97,541,0.1,112.6,38.8
Maytenus procumbens,Celastraceae,4,32.97,68.83,870,0.1,53.3,41.6
Maytenus procumbens,Celastraceae,4,33.37,75.87,762,0.1,172.2,40.4
Maytenus procumbens,Celastraceae,4,32.23,76.37,846,0.1,NA,35.2
Maytenus procumbens,Celastraceae,5,33.37,75.87,368,0.1,247,38.4
Maytenus procumbens,Celastraceae,5,32.47,78.80,180,0.1,NA,33.6
Maytenus procumbens,Celastraceae,5,32.40,82.37,101,0.1,NA,31.6
Maytenus procumbens,Celastraceae,5,33.13,81.97,844,0.1,NA,38.4
Maytenus procumbens,Celastraceae,5,32.97,68.83,503,0.1,NA,40
Maytenus procumbens,Celastraceae,6,33.37,75.87,941,0.1,234.4,41.6
Maytenus procumbens,Celastraceae,6,33.13,81.97,812,0.1,51.9,40.4
Maytenus procumbens,Celastraceae,6,32.97,68.83,519,0.1,131.7,43.4
Maytenus procumbens,Celastraceae,6,32.47,78.80,823,0.1,417.5,31.8
Maytenus procumbens,Celastraceae,6,32.40,82.37,116,0.1,303.2,31.2
Maytenus procumbens,Celastraceae,7,33.37,75.87,904,0.1,277.8,39.2
Maytenus procumbens,Celastraceae,7,32.40,82.37,120,0.1,311.6,30.6
Maytenus procumbens,Celastraceae,7,32.97,68.83,744,0.1,NA,41.4
Maytenus procumbens,Celastraceae,7,33.13,81.97,766,0.1,70,39.4
Moringa stenopetala,Moringaceae,1,33.63,77.70,992,0.1,NA,35.1
Moringa stenopetala,Moringaceae,1,35.13,69.10,405,0.1,902.1,31.2
Moringa stenopetala,Moringaceae,1,34.63,71.13,763,0.1,910.3,33
Moringa stenopetala,Moringaceae,1,35.57,69.50,542,0.1,1110.7,33.8
Moringa stenopetala,Moringaceae,1,33.03,78.37,290,0.1,573,29.2
Moringa stenopetala,Moringaceae,1,32.23,78.27,780,0.1,762.6,33.4
Moringa stenopetala,Moringaceae,1,33.20,76.20,578,0.5,887,30.6
Moringa stenopetala,Moringaceae,1,33.13,79.80,112,0.1,NA,30.4
Moringa stenopetala,Moringaceae,2,35.57,69.50,714,0.1,1161.5,33.8
Moringa stenopetala,Moringaceae,3,33.03,78.37,125,0.1,749.6,29.8
Moringa stenopetala,Moringaceae,3,33.13,79.80,140,0.1,427.1,31.6
Moringa stenopetala,Moringaceae,3,33.20,76.20,753,0.1,NA,33.6
Moringa stenopetala,Moringaceae,3,32.23,78.27,719,0.1,697.2,33.2
Moringa stenopetala,Moringaceae,3,34.63,71.13,1014,0.1,670.8,33.8
Moringa stenopetala,Moringaceae,3,35.13,69.10,609,0.1,755.7,35.6
Moringa stenopetala,Moringaceae,3,35.57,69.50,309,0.1,901.3,32.8
Moringa stenopetala,Moringaceae,3,33.63,77.70,995,0.1,NA,34.6
Moringa stenopetala,Moringaceae,4,33.13,79.80,200,0.1,NA,32.6
Moringa stenopetala,Moringaceae,4,32.23,78.27,822,0.1,735.9,34.4
Moringa stenopetala,Moringaceae,4,35.13,69.10,951,0.1,821.6,36.4
Moringa stenopetala,Moringaceae,4,33.63,77.70,458,0.1,482.6,33.6
Moringa stenopetala,Moringaceae,4,34.63,71.13,1014,0.1,753,34
Moringa stenopetala,Moringaceae,4,33.03,78.37,344,0.1,592.6,31.6
Moringa stenopetala,Moringaceae,4,35.57,69.50,1018,0.1,1089.9,38.6
Moringa stenopetala,Moringaceae,4,33.20,76.20,960,0.1,NA,32
Moringa stenopetala,Moringaceae,5,35.13,69.10,397,0.1,1006.7,32.2
Moringa stenopetala,Moringaceae,5,33.03,78.37,443,0.1,921.3,32.8
Moringa stenopetala,Moringaceae,5,35.57,69.50,293,0.1,1288.9,29.4
Moringa stenopetala,Moringaceae,5,33.63,77.70,964,0.1,1118.2,33.4
Moringa stenopetala,Moringaceae,5,34.63,71.13,367,0.1,768.4,29.8
Moringa stenopetala,Moringaceae,5,33.13,79.80,589,0.1,874.6,29.6
Moringa stenopetala,Moringaceae,5,33.20,76.20,144,0.1,1168.5,31
Moringa stenopetala,Moringaceae,5,32.23,78.27,844,0.1,1032.4,33
Moringa stenopetala,Moringaceae,6,35.57,69.50,223,0.1,1151.6,28
Moringa stenopetala,Moringaceae,6,34.63,71.13,251,0.3,801,31.4
Moringa stenopetala,Moringaceae,6,33.13,79.80,255,0.3,756.6,28.8
Moringa stenopetala,Moringaceae,6,33.20,76.20,236,0.1,923.6,31.6
Moringa stenopetala,Moringaceae,6,33.03,78.37,106,0.1,275.5,29.6
Moringa stenopetala,Moringaceae,6,35.13,69.10,443,0.1,NA,31.8
