Latin_name,Family,SampleID,Leaf,gs_mmol/ms,Tl_(˚C),Notes
Justicia brandegeeana,Acanthaceae,515,7,488.3,36.4,
Justicia brandegeeana,Acanthaceae,516,7,282.6,37.8,
Phaleria macrocarpa,Thymelaceae,517,1,330.8,40.4,
Phaleria macrocarpa,Thymelaceae,518,1,203.7,37.8,
Phaleria macrocarpa,Thymelaceae,519,1,235.3,39.2,
Phaleria macrocarpa,Thymelaceae,520,1,225.3,38.6,
Phaleria macrocarpa,Thymelaceae,521,1,205.8,31.6,
Phaleria macrocarpa,Thymelaceae,522,1,128.9,31.8,
Phaleria macrocarpa,Thymelaceae,523,1,56.8,34.2,
Phaleria macrocarpa,Thymelaceae,524,1,54.1,32,
Phaleria macrocarpa,Thymelaceae,525,2,429.6,37.6,
Phaleria macrocarpa,Thymelaceae,526,2,383.5,39.8,
Phaleria macrocarpa,Thymelaceae,527,2,356.8,35.6,
Phaleria macrocarpa,Thymelaceae,528,2,360,31.6,
Phaleria macrocarpa,Thymelaceae,529,2,NA,37.6,
Phaleria macrocarpa,Thymelaceae,530,2,358.5,35.8,
Phaleria macrocarpa,Thymelaceae,531,2,144.8,35.8,
Phaleria macrocarpa,Thymelaceae,532,3,NA,38.8,
Phaleria macrocarpa,Thymelaceae,533,3,304.9,36.8,
Phaleria macrocarpa,Thymelaceae,534,3,61.1,33.2,
Phaleria macrocarpa,Thymelaceae,535,3,290.1,39.6,
Phaleria macrocarpa,Thymelaceae,536,3,236.1,40.2,
Phaleria macrocarpa,Thymelaceae,537,3,171.8,31.8,
Phaleria macrocarpa,Thymelaceae,538,4,243.8,34.8,
Phaleria macrocarpa,Thymelaceae,539,4,NA,33.6,
Phaleria macrocarpa,Thymelaceae,540,4,NA,34.6,
Phaleria macrocarpa,Thymelaceae,541,4,NA,34.6,
Phaleria macrocarpa,Thymelaceae,542,4,466.7,37.4,
Phaleria macrocarpa,Thymelaceae,543,4,337.7,36.6,
Phaleria macrocarpa,Thymelaceae,544,4,NA,31.8,
Phaleria macrocarpa,Thymelaceae,545,5,360.6,36.2,
Phaleria macrocarpa,Thymelaceae,546,5,NA,31,
Phaleria macrocarpa,Thymelaceae,547,5,141.9,34.4,
Phaleria macrocarpa,Thymelaceae,548,5,338.5,34.5,
Phaleria macrocarpa,Thymelaceae,549,5,NA,36.6,
Phaleria macrocarpa,Thymelaceae,550,5,NA,35.8,
Phaleria macrocarpa,Thymelaceae,551,5,357.9,39.7,
Phaleria macrocarpa,Thymelaceae,552,5,NA,33.3,
Phaleria macrocarpa,Thymelaceae,553,6,339.3,36.4,
Phaleria macrocarpa,Thymelaceae,554,6,390.1,36,
Phaleria macrocarpa,Thymelaceae,555,6,NA,38.4,
Phaleria macrocarpa,Thymelaceae,556,6,423.6,35.6,
Phaleria macrocarpa,Thymelaceae,557,6,240.3,31.4,
Phaleria macrocarpa,Thymelaceae,558,6,416.3,39.4,
Phaleria macrocarpa,Thymelaceae,559,6,298.7,35.2,
Phaleria macrocarpa,Thymelaceae,560,7,365.2,25,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,561,7,181.7,25,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,562,7,NA,25,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,563,7,325,25,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,564,7,242.9,25,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,565,7,241.5,25,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,566,7,401.5,25,leaf temp gage fell off
